Proposal ID,Programme Name,Sub-Programme,Supplement,Lead Applicant,Research Body,Proposal Title,Start Date,End Date,Funding
12/IA/1477,SFI Investigator Programme,Investigator Award,,Paul McLoughlin,University College Dublin (UCD),The role of the bone morphogenetic antagonist gremlin in the pathogenesis of chronic hypoxic lung disease,04/01/2013,6/30/2019,1329635
12/IA/1482,SFI Investigator Programme,Investigator Award,,John Boland,Trinity College Dublin (TCD),Atom Level Engineering of Material-on-Insulator Devices and Sensors,04/01/2013,3/31/2018,1653695
12/IP/1491,SFI Investigator Programme,Investigator Project,,Miguel Bustamante,University College Dublin (UCD),Genesis and Development of Extreme Events in Fluids,04/01/2013,12/31/2017,271028
12/IP/1492,SFI Investigator Programme,Investigator Project,,John Atkins,University College Cork (UCC),Using ribosome profiling to study translation initiation/elongation and facilitate optimization of protein synthesis,04/01/2013,9/30/2017,381030
12/IP/1493,SFI Investigator Programme,Investigator Project,,David Clarke,University College Cork (UCC),"Characterizaton of choA, a gene encoding a novel cholesterol-degrading activity in the human gut microbiome",04/01/2013,7/31/2017,244318
12/IP/1494,SFI Investigator Programme,Investigator Project,,Fiona Lyng,Technological University Dublin (TU Dublin),"Identification of clinically important, high risk oral lesions using Raman spectroscopy",04/01/2013,9/30/2017,193700
12/IP/1497,SFI Investigator Programme,Investigator Project,,Nicolas Touzet,"Institute of Technology, Sligo (ITS)",Physiology and molecular biology of microalgae for the biorefining of valuable metabolites,04/01/2013,9/30/2017,357709
12/IP/1502,SFI Investigator Programme,Investigator Project,,Dagmar Stengel,"National University of Ireland, Galway (NUIG)","Iodine in commercially valuable Irish seaweeds: variability, pathways, and implications for industrial applications",04/01/2013,5/31/2016,244066
12/IP/1508,SFI Investigator Programme,Investigator Project,,Corrado Santocanale,"National University of Ireland, Galway (NUIG)",Cdc7 regulation of Claspin stability and its effect on cell cycle checkpoint function  ,04/01/2013,9/30/2017,292282
12/IP/1519,SFI Investigator Programme,Investigator Project,,Xinmin Zhan,"National University of Ireland, Galway (NUIG)",Green Farm: Development of On-Farm Co-Digestion of the Organic Fraction of Municipal Solid Waste and Animal Manure for Bioenergy Production and Resource Recycling,04/01/2013,12/31/2017,359863
12/IP/1520,SFI Investigator Programme,Investigator Project,,Katherine Howell,University College Dublin (UCD),Elucidating the the potential therapuetic role of Erythropoietin in the treatment of Emphysema,4/17/2013,3/16/2020,349277
12/IP/1523,SFI Investigator Programme,Investigator Project,,Martin Glavin,"National University of Ireland, Galway (NUIG)",Breast Cancer detection and classification using Ultra Wideband Radar Tomography,04/01/2013,9/30/2017,240891
12/IA/1531,SFI Investigator Programme,Investigator Award,,Luke O'Neill,Trinity College Dublin (TCD),Novel regulators of the Nlrp3 inflammasome and IL-1beta: prospects for novel therpeutics and diagnostics for inflammatory diseases,03/01/2013,2/28/2018,2385259
12/IP/1532,SFI Investigator Programme,Investigator Project,,Rachel McLoughlin,Trinity College Dublin (TCD),Understanding cellular immunity to Staphylococcus aureus is required for novel anti-S. aureus vaccine design,04/01/2013,3/31/2017,384042
12/IA/1537,SFI Investigator Programme,Investigator Award,,Yvonne Nolan,University College Cork (UCC),The nuclear receptor TLX as a cell intrinsic regulator underlying inflammation and stress-induced changes in hippocampal neurogenesis: relevance to cognitive disorders,04/01/2013,9/30/2018,1082571
12/IA/1547,SFI Investigator Programme,Investigator Award,,Mani Ramaswami,Trinity College Dublin (TCD),"Translational control of neuronal mRNAs: its mechanisms, and roles in memory and neurodegeneration.",04/01/2013,3/31/2017,1430853
12/IA/1554,SFI Investigator Programme,Investigator Award,,Daniel J Kelly,Trinity College Dublin (TCD),A tissue engineered biological joint replacement prosthesis for the treatment of degenerative joint disease,09/01/2013,8/31/2018,1717694
12/IP/1556,SFI Investigator Programme,Investigator Project,,James Rice,University College Dublin (UCD),Patterned nanomaterial’s using ferroelectric lithography for enhanced optical imaging        ,04/01/2013,8/31/2017,232809
12/IP/1565,SFI Investigator Programme,Investigator Project,,Rachel McDonnell,Trinity College Dublin (TCD),Cartoon Motion: Stylised facial animation from motion capture,03/01/2013,10/31/2018,267235
12/IA/1570,SFI Investigator Programme,Investigator Award,,Kevin Devine,Trinity College Dublin (TCD),Cell wall metabolism in Gram positive bacteria: investigating its regulation and exploiting its therapeutic potential.,05/01/2013,10/31/2017,1226466
12/IA/1576,SFI Investigator Programme,Investigator Award,,Dermot Brabazon,Dublin City University (DCU),Laser processing for fabrication of advanced liquid chromatographic systems,04/01/2013,9/30/2018,821262
12/IA/1601,SFI Investigator Programme,Investigator Award,,Stephen Fahy,Tyndall National Institute (TNI),Ultrafast energy dissipation in semimetals and semiconductors: Simulation based on first-principles electronic structure theory ,08/01/2013,7/31/2019,1206154
12/IP/1608,SFI Investigator Programme,Investigator Project,,Rachel Evans,Trinity College Dublin (TCD),High-Efficiency Conjugated Polymer-Inorganic Hybrids as Luminescent Solar Concentrators for Photovoltaics,04/01/2013,11/30/2017,325512
12/IP/1620,SFI Investigator Programme,Investigator Project,,David O'Connell,University College Dublin (UCD),Novel affinity matrices for purification of biotherapeutics,04/01/2013,8/31/2017,264317
12/IA/1624,SFI Investigator Programme,Investigator Award,,Thomas Ritter,"National University of Ireland, Galway (NUIG)",Novel therapeutic approaches to improve corneal allograft survival by cell and gene therapy and insights into the mechanism of action,04/01/2013,3/31/2019,1295312
12/IA/1645,SFI Investigator Programme,Investigator Award,,Stephen Connon,Trinity College Dublin (TCD),"Anhydrides as nucleophiles in new catalytic asymmetric processes: development, scope expansion and application in drug development ",04/01/2013,12/31/2018,1292608
12/IP/1658,SFI Investigator Programme,Investigator Project,,John Gerard McInerney,University College Cork (UCC),Pulsed semiconductor lasers for metrology and remote sensing: synchronisation and stabilisation dynamics,03/01/2013,9/30/2016,199022
12/IP/1662,SFI Investigator Programme,Investigator Project,,James Lunney,Trinity College Dublin (TCD),Pulsed laser deposition of thin films at atmospheric pressure,04/01/2013,3/31/2018,252595
12/IP/1663,SFI Investigator Programme,Investigator Project,,David Chew,Trinity College Dublin (TCD),Microanalysis of detrital apatite: a new provenance proxy in sedimentary systems,04/01/2013,9/30/2017,279484
12/IA/1667,SFI Investigator Programme,Investigator Award,,Cliona O'Farrelly,Trinity College Dublin (TCD),Is Natural Resistance to Hepatitis C in an Irish Cohort Associated with JAK/STAT Resistance to HCV Targeting?  Towards New Anti-Viral Strategies ,04/01/2013,12/31/2019,1740765
12/IP/1670,SFI Investigator Programme,Investigator Project,,Derek Morris,Trinity College Dublin (TCD),Gene discovery in schizophrenia using family-based sequencing methods,04/01/2013,9/30/2017,353844
12/IP/1673,SFI Investigator Programme,Investigator Project,,Mario Fares,Trinity College Dublin (TCD),Understanding the role of molecular chaperones in robustness and functional innovation,05/01/2013,4/30/2016,371358
12/IA/1683,SFI Investigator Programme,Investigator Award,,Stephen O'Brien,University of Limerick (UL),"Applied mathematical modelling applied to enterprise, science and technology  (MACSI)",05/01/2013,12/31/2018,2762837
12/IP/1686,SFI Investigator Programme,Investigator Project,,Tara McMorrow,University College Dublin (UCD),Molecular mechanisms of cilia loss in mammalian epithelial cells,04/01/2013,9/30/2017,318013
12/IP/1688(X),SFI Investigator Programme,Investigator Project,,Wenxin Wang,"National University of Ireland, Galway (NUIG)",Development and Delivery of Nonviral S/MAR Minicircles for Long-term Type VII Collagen Gene expression for the Treatment of Recessive Dystrophic Epidermolysis Bullosa,04/01/2013,11/30/2013,47704
12/IP/1692,SFI Investigator Programme,Investigator Project,,Fernando Rhen,University of Limerick (UL),Nanostructured alloy for high-energy-efficient fuel cells,04/01/2013,6/30/2017,174549
12/IP/1695,SFI Investigator Programme,Investigator Project,,Sean Doyle,"National University of Ireland, Maynooth (NUIM)",A Vaccination Strategy Against Aspergillus fumigatus Infection.,04/01/2013,10/31/2017,353678
12/IA/1697,SFI Investigator Programme,Investigator Award,,Johannes Klaas Slingerland,"National University of Ireland, Maynooth (NUIM)",Topological Order and Fault Tolerant Quantum Computation,09/01/2013,9/30/2019,669803
12/IP/1703,SFI Investigator Programme,Investigator Project,,Grace Morgan,University College Dublin (UCD),Nano-Assembly of Functional Magnetic and Magneto-Optical Materials,03/01/2013,8/31/2018,317835
12/IP/1722,SFI Investigator Programme,Investigator Project,,James Rohan,Tyndall National Institute (TNI),Nanomaterials design and fabrication for Energy Storage,04/01/2013,11/30/2017,236018
12/IP/1723,SFI Investigator Programme,Investigator Project,,Patrick McGarry,"National University of Ireland, Galway (NUIG)",Active changes in artery structure and contractility in response to stenting,04/01/2013,9/30/2018,225780
12/IP/1727,SFI Investigator Programme,Investigator Project,,Gianpiero Cavalleri,Royal College of Surgeons in Ireland (RCSI),The identification and characterisation of genomic signatures of hypoxia induced natural selection,04/01/2013,9/30/2017,363811
12/IP/1731(X),SFI Investigator Programme,Investigator Project,,Dermot Brougham,Dublin City University (DCU),Long-circulating Magnetic Nanoparticles for Biomedical Applications through Mimetic Surface Chemistry,04/01/2013,12/31/2015,98833
12/IP/1732,SFI Investigator Programme,Investigator Project,,Michael Gilchrist,University College Dublin (UCD),Characterising Mechanical Properties of Brain Tissue using Novel Micro Indentation Tests,04/01/2013,12/31/2017,314751
12/IA/1736,SFI Investigator Programme,Investigator Award,,Paul Moynagh,"National University of Ireland, Maynooth (NUIM)",Defining the roles and mechanisms of action of Pellino proteins in immunity and inflammatory diseases ,10/01/2013,2/28/2019,2042512
12/IA/1742,SFI Investigator Programme,Investigator Award,,John Costello,Dublin City University (DCU),Stagnation Layers in Laser Ablation Based Analytical Techniques,07/01/2013,12/31/2017,816547
00/PI.1/B038,SFI Principal Investigator Programme,,,Seamus Martin,Trinity College Dublin (TCD),Establishing functional proteomic maps of proteins involved in apoptosis,10/01/2001,03/04/2007,5471668
00/PI.1/B045,SFI Principal Investigator Programme,,,Kingston Mills,Trinity College Dublin (TCD),Pathogen-derived immunomodulatory molecules: future immunotherapeutics and vaccines,10/01/2001,12/04/2006,8069352
00/PI.1/B052,SFI Principal Investigator Programme,,,Kenneth Wolfe,Trinity College Dublin (TCD),Functional Organisation of Eukaryotic Genomes,10/01/2001,12/04/2006,5632098
00/PI.1/C017,SFI Principal Investigator Programme,,,John Lewis,Technological University Dublin (TU Dublin),Measurement-Based Resource Management in Communication Networks.,12/01/2001,11/05/2006,2993355
00/PI.1/C028,SFI Principal Investigator Programme,,,John Pethica,Trinity College Dublin (TCD),Nanostructures and Molecule Mechanics.,12/01/2001,05/04/2007,7567189
00/PI.1/C042,SFI Principal Investigator Programme,,,Igor Shvets,Trinity College Dublin (TCD),Studies of Surfaces and Interfaces of Magnetic Spinel Oxides.,12/01/2001,11/05/2006,7785757
00/PI.1/C043A,SFI Principal Investigator Programme,,,Michael Coey,Trinity College Dublin (TCD),Conception and Implementation of Nanoscale Spin Electronics (CINSE),12/01/2001,11/05/2006,7458077
00/PI.1/C067,SFI Principal Investigator Programme,,,Doug Leith,"National University of Ireland, Maynooth (NUIM)",Centre for the analysis and design of interacting computer controlled systems,11/01/2001,04/04/2007,7939335
00/PI.1/C072,SFI Principal Investigator Programme,,,Eoin O'Reilly,Tyndall National Institute (TNI),The Physics of Next Generation ICT Photonic Devices..,12/01/2001,2/28/2007,6343003
00/PI.1/C075,SFI Principal Investigator Programme,,,Eugene Freuder,University College Cork (UCC),Constraint Computation: Automation and Application,12/01/2001,11/05/2006,8240515
00/PI.1/C077A.2,SFI Principal Investigator Programme,,,John Boland,Trinity College Dublin (TCD),Atomtronics: Nanoscale Science and Technology for Future Information.,12/01/2001,05/04/2007,8287673
01/PI.2/C009,SFI Principal Investigator Programme,Principal Investigator - Fellowship,,David Parnas,University of Limerick (UL),Mathematical Foundations Practical Notations and Tools for Reliable Flexible Systems,10/01/2002,03/03/2008,5268514
01/F.1/B022,SFI Principal Investigator Programme,,,Cormac Taylor,University College Dublin (UCD),Impact of Hypoxia on cAMP-dependent Pro-inflammatory Gene Expression in Epithelial Cells,08/01/2002,07/06/2007,1612706
01/F1/B018,SFI Principal Investigator Programme,,,Ciaran Morrison,"National University of Ireland, Galway (NUIG)",DNA double-strand break repair and the maintenance of genomic stability,09/01/2002,08/06/2007,1624293
01/PI.2/B024,SFI Principal Investigator Programme,,,Luke O'Neill,Trinity College Dublin (TCD),Toll-like receptors: targets for intervention in inflammatory and infectious diseases,08/01/2002,01/02/2008,3605786
01/F.1/B006,SFI Principal Investigator Programme,,,Kevin Mitchell,Trinity College Dublin (TCD),A molecular genetic approach to elucidate brain wiring mechanisms in mouse,06/01/2002,11/02/2007,1814154
01/PI.2/C033,SFI Principal Investigator Programme,,,Suzi Jarvis,University College Dublin (UCD),The Function of Nanoscale Complex Systems,07/01/2002,09/03/2007,4238287
01/F.1/C015,SFI Principal Investigator Programme,,,Nicholas Kushmerick,University College Dublin (UCD),Reliable and Scalable Information Services,04/01/2002,03/06/2007,648628
01/F.1/C013,SFI Principal Investigator Programme,,,Guillaume Huyet,Tyndall National Institute (TNI),Nonlinear Dynamics and Quantum Optics of Semiconductor lasers for Phototonic Applications,08/01/2002,01/02/2008,1924426
01/F.1/C004,SFI Principal Investigator Programme,,,Toby Walsh,University College Cork (UCC),Sensitivity Analysis Solution Stability and Uncertainty in Constraint Programming,04/01/2002,03/06/2007,651382
02/W/B12,SFI ETS Walton Visitor Award,,,Michael Organ,Dublin City University (DCU),Discovery of Therapeutic Targets in the Post-Genomics Era,07/01/2002,6/26/2003,153872
02/W/I09,SFI ETS Walton Visitor Award,,,Christopher A Fuchs,Technological University Dublin (TU Dublin),Quantum information theory,07/01/2002,6/30/2003,226252
02/W/I08,SFI ETS Walton Visitor Award,,,Mary Beth Ruskai,Technological University Dublin (TU Dublin),Quantum information and coding,07/01/2002,5/27/2003,89662
02/W/B16,SFI ETS Walton Visitor Award,,,Michael Carroll,"National University of Ireland, Galway (NUIG)",Computational Biomechanics,07/01/2002,6/26/2003,158305
02/W/I06,SFI ETS Walton Visitor Award,,,Richard Hamlet,"National University of Ireland, Galway (NUIG)",Software Components Development,07/01/2002,7/26/2003,162695
02/W/I03,SFI ETS Walton Visitor Award,,,Vladimir Buzek,"National University of Ireland, Maynooth (NUIM)",Programmable Quantum Processors,07/01/2002,6/26/2003,163089
02/W/I02a,SFI ETS Walton Visitor Award,,,Atsuo Fukuda,Trinity College Dublin (TCD),Materials Design and Molecular Alignments for V Shaped switching in Liquid Crystal on Silicon Microdisplays for Multimedia and IT,07/01/2002,6/26/2003,222975
02/W/B18,SFI ETS Walton Visitor Award,,,Max Dow,University College Cork (UCC),Cyclic-di-GMP signalling and the Environmental Regulation of Virulence Gene Expression in Bacterial Pathogens of Humans and Plants,07/01/2002,6/26/2003,115644
